Temperature,Humidity,Comfort Level
6.43,86.55,"Too cold, please turn the heating on. "
-16.29,40.22,"Too cold, please turn the heating on. "
-16.2,14.29,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
44.55,88.31,"Extreme danger! High temperature, please stay indoor until sunset! "
-12.99,72.19,"Too cold, please turn the heating on. "
20.12,27.76,Normal.
20.8,53.95,Normal.
-0.97,3.66,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-15.22,98.21,"Too cold, please turn the heating on. "
-5.04,30.43,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-6.29,22.87,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
41.15,15.47,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
15.74,43.78,Normal.
22.93,19.36,Normal.
30.44,17.66,"Too dry, suggest use of moist lotion. Caution! High temperature. "
-11.09,20.83,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
25.91,68.16,Normal.
26.68,40.28,Normal.
7.11,13.79,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-9.03,83.7,"Too cold, please turn the heating on. "
44.89,52.98,"Extreme danger! High temperature, please stay indoor until sunset! "
13.45,61.57,"Too cold, please wear more clothes and have a cup of hot drink! "
20.33,92.05,Normal.
-9.41,17.8,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-4.48,39.1,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
7.11,76.09,"Too cold, please turn the heating on. "
38.18,6.42,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
45.91,8.47,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
41.92,74.64,"Extreme danger! High temperature, please stay indoor until sunset! "
-4.16,43.78,"Too cold, please turn the heating on. "
35.84,68.91,"Danger! High temperature, please avoid outdoor activities. "
15.94,21.75,Normal.
15.97,47.62,Normal.
-2.79,33.91,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
19.3,27.47,Normal.
38.07,91.79,"Extreme danger! High temperature, please stay indoor until sunset! "
-19.43,11.29,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
37.13,88.72,"Extreme danger! High temperature, please stay indoor until sunset! "
26.8,51.79,Normal.
-3.24,2.39,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
