Temperature,Humidity,Comfort Level
24.98,59.13,Normal.
-10.89,56.63,"Too cold, please turn the heating on. "
26.74,67.97,Normal.
41.48,78.85,"Extreme danger! High temperature, please stay indoor until sunset! "
24.87,7.64,Normal.
43.78,19.81,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
-12.19,9.75,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-4.65,8.62,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-12.63,54.48,"Too cold, please turn the heating on. "
9.05,33.8,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-15.42,10.41,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
19.3,6.62,Normal.
5.1,72.61,"Too cold, please turn the heating on. "
9.35,74.67,"Too cold, please turn the heating on. "
36.43,39.03,Extreme caution! High temperature. 
14.13,38.65,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
38.96,28.81,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
14.3,37.74,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
8.82,29.98,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-4.68,6.81,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
2.67,26.97,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
16.52,25.98,Normal.
24.17,64.85,Normal.
-2.33,3.53,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-19.78,94.49,"Too cold, please turn the heating on. "
0.35,83.97,"Too cold, please turn the heating on. "
0.26,33.72,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-3.46,15.56,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-4.22,8.15,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
9.85,12.37,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
36.48,31.3,Extreme caution! High temperature. 
24.12,0.28,Normal.
12.0,74.95,"Too cold, please wear more clothes and have a cup of hot drink! "
28.99,63.92,Caution! High temperature. 
12.25,48.44,"Too cold, please wear more clothes and have a cup of hot drink! "
20.85,46.96,Normal.
38.51,22.34,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
18.62,85.86,Normal.
-4.88,62.78,"Too cold, please turn the heating on. "
3.76,14.32,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-12.22,48.03,"Too cold, please turn the heating on. "
-15.32,9.44,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
21.67,17.2,Normal.
-7.99,49.97,"Too cold, please turn the heating on. "
-17.69,54.0,"Too cold, please turn the heating on. "
16.32,13.25,Normal.
-12.24,29.11,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
15.12,67.21,Normal.
11.71,59.29,"Too cold, please turn the heating on. "
6.93,97.12,"Too cold, please turn the heating on. "
-15.14,53.05,"Too cold, please turn the heating on. "
20.43,58.72,Normal.
24.54,65.2,Normal.
-7.19,91.57,"Too cold, please turn the heating on. "
36.7,10.27,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
37.55,97.15,"Extreme danger! High temperature, please stay indoor until sunset! "
15.06,23.79,Normal.
-9.22,42.93,"Too cold, please turn the heating on. "
-15.75,46.25,"Too cold, please turn the heating on. "
-12.26,79.33,"Too cold, please turn the heating on. "
-4.09,49.35,"Too cold, please turn the heating on. "
-5.09,58.04,"Too cold, please turn the heating on. "
-4.07,64.55,"Too cold, please turn the heating on. "
25.22,47.15,Normal.
42.93,7.1,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
-8.75,92.38,"Too cold, please turn the heating on. "
-12.7,37.83,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
28.15,96.47,Extreme caution! High temperature. 
-1.38,32.75,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
-19.27,66.12,"Too cold, please turn the heating on. "
-17.7,36.47,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
8.97,84.27,"Too cold, please turn the heating on. "
27.32,2.45,"Too dry, suggest use of moist lotion. "
44.23,4.7,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
0.56,15.52,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
38.81,24.21,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
49.34,48.98,"Extreme danger! High temperature, please stay indoor until sunset! "
43.21,15.53,"Too dry, suggest use of moist lotion. Danger! High temperature, please avoid outdoor activities. "
30.05,38.22,Caution! High temperature. 
46.67,2.94,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
28.49,44.33,Caution! High temperature. 
34.71,12.5,"Too dry, suggest use of moist lotion. Extreme caution! High temperature. "
25.39,68.67,Normal.
12.82,10.44,"Too dry, suggest use of moist lotion. Too cold, please wear more clothes and have a cup of hot drink! "
-10.47,35.01,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
10.59,43.91,"Too cold, please turn the heating on. "
-10.94,68.36,"Too cold, please turn the heating on. "
25.69,90.93,Normal.
11.97,6.85,"Too dry, suggest use of moist lotion. Too cold, please turn the heating on. "
